PropertyName,Area,Rooms,Price (per thousand pounds),Walking time to the nearest metro station (mins),"Furnishing ( Furnished, Partially Furnished, Not Furnished)",Pet Accepted,Availability,Supermarket Nearby,School Nearby (Y/N),Buy/Rent,Balcony,Size (sqft),No. of toilets,Property Type,Level,Greater London/London,,
,,,,,,,,,,,,,,,,,,
Roselands,Wandsworth,Four or more Bedrooms,2167,8,Furnished,Yes,9/18/2021,No,No,Rent,Yes,1383,6,Detached/Landed,Low,Greater London,,
26 Greenridge Crescent,Havering,Two Bedroom,825,15,Partially Furnished,No,9/19/2021,Yes,No,Rent,Yes,760,1,Detached/Landed,Low,Greater London,,
28 Greenridge Crescent,Inner London,One Bedroom,450,5,Not furnished,Yes,9/20/2021,No,Yes,Rent,No,630,1,Detached/Landed,Low,London,,
Meadow Lodge,NORTH WEST,One Bedroom,290,22,Furnished,Yes,9/21/2021,No,No,Rent,Yes,648,1,Detached/Landed,Low,London,,
Brown End,Hounslow,Two Bedroom,1000,17,Partially Furnished,Yes,9/22/2021,Yes,No,Buy,Yes,755,1,Detached/Landed,Low,London,,
Firlands,Sutton,One Bedroom,695,23,Not furnished,Yes,9/23/2021,Yes,Yes,Buy,No,672,1,Detached/Landed,Low,London,,
30 Greenridge Crescent,NORTH WEST,One Bedroom,412,1,Partially Furnished,No,9/24/2021,No,Yes,Rent,No,416,1,Detached/Landed,Low,London,,
Newtown Lodge,Hounslow,Three Bedroom,1225,7,Furnished,Yes,9/25/2021,Yes,Yes,Rent,No,1021,2,Detached/Landed,Low,Greater London,,
Primroseside,EAST MIDLANDS,Four or more Bedrooms,495,26,Partially Furnished,Yes,9/26/2021,Yes,No,Buy,No,1335,4,Detached/Landed,Low,Greater London,,
Seaside,SOUTH WEST,Four or more Bedrooms,1025,23,Partially Furnished,Yes,9/27/2021,Yes,Yes,Buy,No,1318,5,Detached/Landed,Low,Greater London,,
The Firs,Tower Hamlets,Two Bedroom,1430,3,Partially Furnished,Yes,9/28/2021,No,No,Rent,Yes,743,1,Detached/Landed,Low,Greater London,,
Primroseways,Camden,Four or more Bedrooms,1582,9,Not furnished,No,9/29/2021,No,Yes,Rent,No,1314,4,Detached/Landed,Low,Greater London,,
Christian's House,City of London,One Bedroom,1625,20,Furnished,Yes,9/30/2021,Yes,Yes,Buy,Yes,638,1,Detached/Landed,Low,Greater London,,
Chilly Lodge,YORKSHIRE AND THE HUMBER,Four or more Bedrooms,475,26,Partially Furnished,Yes,10/1/2021,No,No,Buy,Yes,1485,7,Detached/Landed,Low,Greater London,,
The Roses,Hackney,One Bedroom,1148,23,Partially Furnished,Yes,10/2/2021,No,No,Rent,Yes,546,1,Detached/Landed,Low,London,,
Fir House,Tower Hamlets,One Bedroom,467,29,Furnished,Yes,10/3/2021,Yes,Yes,Buy,Yes,576,1,Detached/Landed,Low,London,,
Rose Lodge,Westminster,Three Bedroom,3142,20,Partially Furnished,No,10/4/2021,Yes,No,Rent,Yes,1044,2,Detached/Landed,Low,Greater London,,
The Old Barn,Brent,One Bedroom,953,20,Furnished,No,10/5/2021,No,Yes,Buy,No,643,1,Detached/Landed,Low,Greater London,,
Sea View,Hackney,Four or more Bedrooms,2167,16,Partially Furnished,No,10/6/2021,Yes,No,Rent,No,1225,6,Detached/Landed,Low,Greater London,,
Donkey's End,Hammersmith and Fulham,Three Bedroom,1950,8,Not furnished,Yes,10/7/2021,Yes,Yes,Buy,No,911,1,Detached/Landed,Low,London,,
Le Petit Chambre,WEST MIDLANDS,Four or more Bedrooms,850,26,Partially Furnished,Yes,10/8/2021,No,No,Buy,Yes,1367,5,Detached/Landed,Low,Greater London,,
MiniPalais,Hammersmith and Fulham,One Bedroom,1213,8,Partially Furnished,Yes,10/9/2021,Yes,Yes,Rent,No,526,1,Detached/Landed,Low,London,,
The Dorm Room,Outer London,Four or more Bedrooms,950,21,Not furnished,Yes,10/10/2021,No,No,Rent,Yes,1561,7,Detached/Landed,Low,Greater London,,
EcoStay,SOUTH WEST,One Bedroom,325,17,Furnished,No,10/11/2021,Yes,No,Rent,Yes,433,1,Detached/Landed,Low,London,,
Shoebox,YORKSHIRE AND THE HUMBER,One Bedroom,390,7,Furnished,No,10/12/2021,Yes,Yes,Rent,Yes,576,1,Detached/Landed,Low,Greater London,,
The Den,Havering,Four or more Bedrooms,1450,17,Partially Furnished,No,10/13/2021,Yes,No,Rent,Yes,1203,4,Detached/Landed,Low,Greater London,,
Wild Estates,Barking and Dagenham,Four or more Bedrooms,1250,14,Not furnished,Yes,10/14/2021,No,Yes,Rent,Yes,1486,7,Detached/Landed,Low,Greater London,,
La Grande Maison,YORKSHIRE AND THE HUMBER,Two Bedroom,475,9,Partially Furnished,Yes,10/15/2021,No,No,Rent,No,792,1,Detached/Landed,Low,London,,
The Glass House,EAST,Two Bedroom,590,21,Furnished,Yes,10/16/2021,Yes,No,Rent,No,751,1,Detached/Landed,Low,Greater London,,
Noble Park,Greenwich,One Bedroom,750,8,Furnished,No,10/17/2021,Yes,No,Rent,Yes,464,1,Detached/Landed,Low,Greater London,,
Each to Their Home,WEST MIDLANDS,Two Bedroom,500,24,Partially Furnished,No,10/18/2021,Yes,Yes,Rent,Yes,753,1,Detached/Landed,Low,London,,
The Retreat,Islington,Four or more Bedrooms,2600,24,Not furnished,Yes,10/19/2021,Yes,Yes,Rent,No,1586,6,Detached/Landed,Low,London,,
Homemaker,Barnet,One Bedroom,450,23,Furnished,Yes,10/20/2021,No,Yes,Buy,Yes,492,1,Detached/Landed,Low,Greater London,,
Grand Rosso,Sutton,Four or more Bedrooms,790,19,Partially Furnished,No,10/21/2021,No,No,Buy,No,1343,4,Detached/Landed,Low,London,,
Homes Pointe,Newham,Three Bedroom,1200,10,Not furnished,Yes,10/22/2021,Yes,Yes,Buy,No,1140,3,Detached/Landed,Low,London,,
LightHouse,Kensington and Chelsea,One Bedroom,607,26,Not furnished,No,10/23/2021,Yes,No,Rent,Yes,425,1,Detached/Landed,Low,London,,
Brick and Morty,Outer London,Four or more Bedrooms,900,21,Partially Furnished,No,10/24/2021,No,Yes,Buy,Yes,1303,5,Detached/Landed,Low,Greater London,,
The Bach Pad,Redbridge,One Bedroom,410,8,Furnished,No,10/25/2021,No,No,Rent,Yes,625,1,Detached/Landed,Low,Greater London,,
Greenwood,SOUTH WEST,Two Bedroom,595,20,Partially Furnished,No,10/26/2021,No,Yes,Rent,Yes,732,2,Detached/Landed,Low,London,,
VineWood,Redbridge,Three Bedroom,1200,30,Furnished,Yes,10/27/2021,Yes,Yes,Buy,Yes,1009,2,Detached/Landed,Low,Greater London,,
Hazelbend Residence,Enfield,One Bedroom,758,3,Furnished,Yes,10/28/2021,No,No,Buy,Yes,506,1,Detached/Landed,Low,Greater London,,
Emerald Wilds Mansion,Islington,One Bedroom,520,6,Not furnished,No,10/29/2021,No,No,Buy,No,580,1,Detached/Landed,Low,London,,
Lowvalley Chateau,Islington,One Bedroom,500,14,Partially Furnished,No,10/30/2021,No,No,Buy,Yes,604,1,Detached/Landed,Low,London,,
Graceview Chateau,Bromley,Three Bedroom,1150,30,Partially Furnished,No,10/31/2021,Yes,Yes,Buy,No,1042,1,Detached/Landed,Low,Greater London,,
Elm Estate,Lambeth,One Bedroom,430,3,Furnished,Yes,11/1/2021,Yes,No,Rent,No,531,1,Detached/Landed,Low,London,,
Balker Estate,Havering,One Bedroom,675,20,Partially Furnished,No,11/2/2021,No,No,Buy,Yes,560,1,Detached/Landed,Low,Greater London,,
Sulthall Mansion,Haringey,Two Bedroom,1249,10,Not furnished,No,11/3/2021,Yes,Yes,Rent,Yes,850,2,Detached/Landed,Low,Greater London,,
Branhall Estate,Kensington and Chelsea,Two Bedroom,2600,5,Not furnished,No,11/4/2021,No,Yes,Rent,No,756,1,Detached/Landed,Low,Greater London,,
Copeclair Residence,Lewisham,One Bedroom,400,13,Furnished,Yes,11/5/2021,No,No,Buy,No,651,1,Detached/Landed,Low,Greater London,,
Beresvine Residence,Enfield,Two Bedroom,1001,22,Not furnished,No,11/6/2021,Yes,No,Buy,Yes,739,1,Detached/Landed,Low,Greater London,,
Green Meadow Residence,Kingston upon Thames,Two Bedroom,1100,9,Partially Furnished,Yes,11/7/2021,Yes,No,Rent,Yes,803,1,Detached/Landed,Low,London,,
Sugarhill Residence,WEST MIDLANDS,Three Bedroom,580,19,Furnished,No,11/8/2021,Yes,Yes,Buy,No,1077,2,Detached/Landed,Low,London,,
Sugarhill Estate,Lambeth,One Bedroom,425,14,Not furnished,Yes,11/9/2021,No,No,Rent,No,446,1,Detached/Landed,Low,London,,
Wildridge Mansion,Westminster,Four or more Bedrooms,6500,12,Furnished,Yes,11/10/2021,No,Yes,Buy,Yes,1472,5,Detached/Landed,Low,London,,
Rosepetal Mansion,Hackney,One Bedroom,458,5,Not furnished,Yes,11/11/2021,Yes,No,Buy,No,656,1,Detached/Landed,Low,London,,
Norclair Mansion,NORTH EAST,One Bedroom,394,9,Partially Furnished,Yes,11/12/2021,Yes,No,Buy,No,553,1,Detached/Landed,Low,Greater London,,
Rutfield Estate,Ealing,One Bedroom,925,2,Partially Furnished,No,11/13/2021,Yes,No,Buy,No,620,1,Detached/Landed,Low,London,,
Oders Mansion,Croydon,Three Bedroom,1118,22,Not furnished,Yes,11/14/2021,Yes,No,Buy,No,1090,2,Detached/Landed,Low,Greater London,,
Pattermour Estate,Newham,Four or more Bedrooms,1400,4,Partially Furnished,Yes,11/15/2021,No,Yes,Rent,No,1407,6,Detached/Landed,Low,London,,
Pauledge Estate,Brent,One Bedroom,457,16,Partially Furnished,Yes,11/16/2021,Yes,No,Buy,No,671,1,Detached/Landed,Low,Greater London,,
Pakenport,Ealing,One Bedroom,885,12,Not furnished,Yes,11/17/2021,Yes,No,Rent,Yes,446,1,Detached/Landed,Low,Greater London,,
Geendons,Lewisham,Three Bedroom,1220,27,Furnished,No,11/18/2021,Yes,No,Rent,No,1065,1,Detached/Landed,Low,Greater London,,
Vooydings,Camden,One Bedroom,580,1,Not furnished,No,11/19/2021,Yes,No,Buy,No,453,1,Detached/Landed,Low,London,,
Grosstree,Camden,Two Bedroom,1800,4,Partially Furnished,No,11/20/2021,Yes,No,Rent,No,803,1,Detached/Landed,Low,Greater London,,
Osbard,Camden,One Bedroom,1365,12,Not furnished,No,11/21/2021,No,No,Buy,No,438,1,Detached/Landed,Low,Greater London,,
Railluss,Bromley,Three Bedroom,1100,2,Furnished,Yes,11/22/2021,Yes,Yes,Rent,No,982,1,Detached/Landed,Low,Greater London,,
Kilwin,Merton,Four or more Bedrooms,1000,4,Not furnished,Yes,11/23/2021,Yes,Yes,Rent,No,1364,7,Detached/Landed,Low,Greater London,,
Covingridge,Lambeth,Four or more Bedrooms,2167,22,Partially Furnished,Yes,11/24/2021,Yes,No,Rent,Yes,1485,4,Detached/Landed,Low,Greater London,,
Glooppo,Hackney,Four or more Bedrooms,1148,2,Furnished,Yes,11/25/2021,Yes,No,Rent,Yes,1511,6,Detached/Landed,Low,London,,
Monnon,Hounslow,Four or more Bedrooms,975,3,Not furnished,No,11/26/2021,No,Yes,Rent,No,1350,7,Detached/Landed,Low,Greater London,,
Roberthall,Brent,One Bedroom,433,7,Not furnished,No,11/27/2021,No,Yes,Buy,Yes,489,1,Detached/Landed,Low,Greater London,,
Collborne,Kingston upon Thames,Four or more Bedrooms,2000,7,Partially Furnished,Yes,11/28/2021,Yes,No,Rent,No,1451,4,Detached/Landed,Low,Greater London,,
Urbo,Sutton,One Bedroom,430,8,Not furnished,Yes,11/29/2021,Yes,Yes,Buy,Yes,630,1,Detached/Landed,Low,Greater London,,
Downsend,Croydon,Three Bedroom,1118,7,Not furnished,Yes,11/30/2021,Yes,Yes,Rent,Yes,1037,2,Detached/Landed,Low,Greater London,,
